cycle_ts_utc,attivita,citta,cartella,stato,note
2026-02-14T15:18:00Z,Parrucchiera Afra,Brescia,ParrucchieraAfra_Brescia,completato,Lead selezionata con rating 4.9/5 e assenza sito professionale rilevata

2026-02-14T17:41:00Z,Riccioli e Stile Dal 1991,Milano,RicciolieStile_Milano,scartata_ha_sito,Correzione post-check: rilevato sito ufficiale https://www.riccioliestile.com; lead invalidata
2026-02-14T17:58:00Z,Acconciature Tina Errico,Bergamo,AcconciatureTinaErrico_Bergamo,completato,NO-SITO v2 PASS; sito premium creato; email pronta
2026-02-14T19:42:00Z,Caruso BarberShop,Bergamo,CarusoBarberShop_Bergamo,completato,NO-SITO v2 4/4 PASS + anti-falso-positivo PASS; sito premium online con tunnel pubblico; email pronta
2026-02-14T21:42:00Z,Laura Acconciature,Bergamo,LauraAcconciature_Bergamo,scartata_ha_sito_post_check,Correzione post-check: rilevato sito ufficiale https://laurarosinaacconciature.com/ (qualità superiore); lead invalidata
2026-02-15T01:41:00Z,Nhung Centro Estetico,Varese,NhungCentroEstetico_Varese,completato,NO-SITO v2 PASS (evidenze: Google Maps + ricerca Brave + check domini); sito premium creato; email pronta; tunnel pubblico incluso
2026-02-15T03:38:00Z,(nessuna lead idonea),Bergamo,,non_completato_no_lead_idonea,Ricerca su PagineGialle + Brave. Lead candidata: "My Fair" (rating 4.9/11) scartata perché trovato sito ufficiale https://www.myfairbergamo.it (anti-falso-positivo FAIL).
2026-02-15T05:45:00Z,Estetica O.G.M.,Varese,EsteticaOGM_Varese,completato,NO-SITO v2 PASS; sito premium creato; tunnel pubblico; email pronta (email non pubblica)
2026-02-15T09:38:00Z,(nessuna lead idonea),Como,,non_completato_no_lead_idonea,Ricerca su PagineGialle (centri estetici/estetiste Como). Trovate schede senza sito (es. Dodò Salon) ma senza rating verificabile >=4 (manca fonte affidabile). Serve fonte rating alternativa accessibile senza motori o autorizzazione ad usare rating PagineGialle quando presente.
2026-02-15T11:38:00Z,(nessuna lead idonea),Varese,,non_completato_no_lead_idonea,Ricerca su PagineGialle (parrucchieri/estetica Varese). Candidate come "Beauty Diffusion" scartata: presenza pulsante "Sito web" (gate NO-SITO FAIL) e nessuna recensione => rating >=4 non verificabile.
2026-02-15T13:38:00Z,(nessuna lead idonea),Lodi,,non_completato_no_lead_idonea,Ricerca su PagineGialle (palestre Lodi/LO e dintorni). Attività con rating/recensioni trovate ma quasi sempre con sito (dominio/Wix) => gate FAIL. Attività senza sito: recensioni assenti => rating >=4 non verificabile. Serve fonte rating alternativa o regola su social non-sito.
2026-02-15T15:38:00Z,(nessuna lead idonea),Pavia,,non_completato_no_lead_idonea,Ricerca su PagineGialle (parrucchieri+centri estetici Pavia). Attività con recensioni spesso con pulsante "Sito web" (dominio o link social) => gate NO-SITO FAIL. Attività senza "Sito web" spesso senza recensioni => rating >=4 non verificabile. Serve regola su social come non-sito oppure fonte rating alternativa.
2026-02-15T17:38:00Z,,Lodi,,non_completato_no_lead_idonea,"Ricerca su PagineGialle (palestra Lodi): candidate con rating spesso hanno Sito web (Wix/dominio) => FAIL gate; quelle senza sito spesso senza recensioni => rating>=4 non verificabile"
2026-02-15T19:38:00Z,Glamour,Mantova,Glamour_Mantova,completato,"NO-SITO v2 PASS; sito premium creato; tunnel pubblico; proposta outreach pronta (email non pubblica)"
